alert_id,machine_id,equipment_category,alert_level,alert_priority,health_score,problem,probable_cause,recommended_action,observed_pattern,alert_status,source_model,generated_at
ALT-0085,GRB-009,Gearbox,Low Risk,Observe,63.68,High gearbox mechanical stress,"Low health score may indicate lubrication failure, gear wear, or abnormal torque transmission",Schedule maintenance soon and avoid high load operation,"anomaly detected, very low mechanical load, very high shaft speed, high wear indicator",Active,Isolation Forest + Rule-Based Decision Support,2026-06-07 21:30:30
ALT-0086,MOT-013,Motor,Low Risk,Observe,63.73,High motor stress condition,"Low health score may indicate overload, insulation stress, or abnormal torque demand",Reduce motor load if possible and schedule maintenance soon,"anomaly detected, very low torque, very high rotational speed",Active,Isolation Forest + Rule-Based Decision Support,2026-06-07 21:30:30
ALT-0087,PMP-005,Pump,Low Risk,Observe,63.75,High-risk pump operating condition,"Low health score may indicate cavitation, bearing wear, or unstable hydraulic load",Plan maintenance soon and reduce pump load if possible,"anomaly detected, very high torque, low rotational speed, very high air temperature",Active,Isolation Forest + Rule-Based Decision Support,2026-06-07 21:30:30
ALT-0088,BLW-010,Blower,Low Risk,Observe,63.77,High-risk blower operating condition,"Low health score may indicate airflow restriction, overheating, or bearing stress",Plan maintenance soon and reduce blower load if possible,"anomaly detected, very high rotational airflow speed, very low airflow load demand, high process temperature",Active,Isolation Forest + Rule-Based Decision Support,2026-06-07 21:30:30
ALT-0089,CLT-004,Cooling Tower,Low Risk,Observe,63.81,High cooling tower performance risk,"Low health score may indicate cooling efficiency loss, airflow restriction, or scaling buildup","Schedule cleaning and inspect fan, fill media, and water distribution system","anomaly detected, very high fan speed variation",Active,Isolation Forest + Rule-Based Decision Support,2026-06-07 21:30:30
ALT-0090,CMP-017,Compressor,Low Risk,Observe,63.95,High compressor stress condition,"Low health score may indicate overheating, overpressure, or lubrication problem",Schedule maintenance soon and check whether the compressor can continue operation safely,"anomaly detected, very low air temperature, very low process temperature",Active,Isolation Forest + Rule-Based Decision Support,2026-06-07 21:30:30
ALT-0091,PMP-010,Pump,Low Risk,Observe,64.06,High-risk pump operating condition,"Low health score may indicate cavitation, bearing wear, or unstable hydraulic load",Plan maintenance soon and reduce pump load if possible,"anomaly detected, very low torque, high tool wear, very high rotational speed",Active,Isolation Forest + Rule-Based Decision Support,2026-06-07 21:30:30
ALT-0092,FAN-009,Fan,Low Risk,Observe,64.08,Severe fan airflow imbalance or bearing stress,"Low health score may indicate high mechanical stress, bearing wear, or unstable rotation",Reduce fan operation load if possible and schedule maintenance soon,"anomaly detected, very high rotational airflow speed, very low airflow load demand, low air temperature",Active,Isolation Forest + Rule-Based Decision Support,2026-06-07 21:30:30
ALT-0093,HYD-008,Hydraulic System,Low Risk,Observe,64.15,High hydraulic system risk,"Low health score may indicate pressure instability, overheating, or leakage",Plan maintenance soon and reduce hydraulic load if possible,"anomaly detected, very low operating temperature, very low process temperature",Active,Isolation Forest + Rule-Based Decision Support,2026-06-07 21:30:30
ALT-0094,HEX-007,Heat Exchanger,Low Risk,Observe,64.27,High heat exchanger efficiency loss,"Low health score may indicate fouling, blocked flow, or abnormal temperature difference",Schedule cleaning and inspect inlet/outlet flow condition soon,"anomaly detected, very low air temperature, very low process temperature",Active,Isolation Forest + Rule-Based Decision Support,2026-06-07 21:30:30
ALT-0095,CMP-008,Compressor,Low Risk,Observe,64.39,High compressor stress condition,"Low health score may indicate overheating, overpressure, or lubrication problem",Schedule maintenance soon and check whether the compressor can continue operation safely,"anomaly detected, very low torque, very high rotational speed",Active,Isolation Forest + Rule-Based Decision Support,2026-06-07 21:30:30
ALT-0096,CFG-005,Centrifuge,Low Risk,Observe,64.5,High centrifuge mechanical stress,"Low health score may indicate rotor imbalance, high vibration risk, or bearing stress",Reduce load if possible and schedule centrifuge mechanical inspection soon,"anomaly detected, low centrifuge speed instability, very high centrifuge load demand, very high operating temperature",Active,Isolation Forest + Rule-Based Decision Support,2026-06-07 21:30:30
ALT-0097,MOT-003,Motor,Low Risk,Observe,64.59,High motor stress condition,"Low health score may indicate overload, insulation stress, or abnormal torque demand",Reduce motor load if possible and schedule maintenance soon,"anomaly detected, very low torque, very high rotational speed",Active,Isolation Forest + Rule-Based Decision Support,2026-06-07 21:30:30
ALT-0098,CLT-002,Cooling Tower,Low Risk,Observe,64.71,High cooling tower performance risk,"Low health score may indicate cooling efficiency loss, airflow restriction, or scaling buildup","Schedule cleaning and inspect fan, fill media, and water distribution system","anomaly detected, high cooling tower air temperature, low fan speed variation",Active,Isolation Forest + Rule-Based Decision Support,2026-06-07 21:30:30
ALT-0099,MOT-006,Motor,Low Risk,Observe,64.79,High motor stress condition,"Low health score may indicate overload, insulation stress, or abnormal torque demand",Reduce motor load if possible and schedule maintenance soon,"anomaly detected, very low torque, very high rotational speed",Active,Isolation Forest + Rule-Based Decision Support,2026-06-07 21:30:30
ALT-0100,CFG-001,Centrifuge,Low Risk,Observe,64.82,High centrifuge mechanical stress,"Low health score may indicate rotor imbalance, high vibration risk, or bearing stress",Reduce load if possible and schedule centrifuge mechanical inspection soon,"anomaly detected, very high centrifuge speed instability, very low centrifuge load demand, very high operating temperature",Active,Isolation Forest + Rule-Based Decision Support,2026-06-07 21:30:30
ALT-0101,CNV-006,Conveyor,Low Risk,Observe,64.86,High conveyor drive stress,"Low health score may indicate belt misalignment, roller jam, or overload",Reduce conveyor load and schedule maintenance soon,"anomaly detected, very low conveyor drive load, very high conveyor speed variation, high wear indicator",Active,Isolation Forest + Rule-Based Decision Support,2026-06-07 21:30:30
ALT-0102,MOT-017,Motor,Low Risk,Observe,64.87,High motor stress condition,"Low health score may indicate overload, insulation stress, or abnormal torque demand",Reduce motor load if possible and schedule maintenance soon,"anomaly detected, very high torque, low rotational speed, very low air temperature",Active,Isolation Forest + Rule-Based Decision Support,2026-06-07 21:30:30
ALT-0103,MOT-023,Motor,Low Risk,Observe,64.9,High motor stress condition,"Low health score may indicate overload, insulation stress, or abnormal torque demand",Reduce motor load if possible and schedule maintenance soon,"anomaly detected, very low torque, very high rotational speed, high air temperature",Active,Isolation Forest + Rule-Based Decision Support,2026-06-07 21:30:30
ALT-0104,CHL-005,Chiller,Low Risk,Observe,64.93,High chiller performance risk,"Low health score may indicate cooling efficiency loss, overheating, or unstable compressor load","Schedule maintenance soon and check condenser, refrigerant level, and cooling flow","anomaly detected, very low compressor load demand",Active,Isolation Forest + Rule-Based Decision Support,2026-06-07 21:30:30
ALT-0105,MOT-012,Motor,Low Risk,Observe,64.94,High motor stress condition,"Low health score may indicate overload, insulation stress, or abnormal torque demand",Reduce motor load if possible and schedule maintenance soon,"anomaly detected, very low torque, very high rotational speed",Active,Isolation Forest + Rule-Based Decision Support,2026-06-07 21:30:30
ALT-0106,MOT-009,Motor,Low Risk,Observe,64.97,High motor stress condition,"Low health score may indicate overload, insulation stress, or abnormal torque demand",Reduce motor load if possible and schedule maintenance soon,"anomaly detected, very low torque, very high rotational speed, very low process temperature",Active,Isolation Forest + Rule-Based Decision Support,2026-06-07 21:30:30
ALT-0107,BLW-002,Blower,Low Risk,Observe,64.97,High-risk blower operating condition,"Low health score may indicate airflow restriction, overheating, or bearing stress",Plan maintenance soon and reduce blower load if possible,"anomaly detected, low airflow load demand, very high air temperature, very high process temperature",Active,Isolation Forest + Rule-Based Decision Support,2026-06-07 21:30:30
ALT-0108,CLT-005,Cooling Tower,Low Risk,Observe,64.97,High cooling tower performance risk,"Low health score may indicate cooling efficiency loss, airflow restriction, or scaling buildup","Schedule cleaning and inspect fan, fill media, and water distribution system","anomaly detected, very high cooling tower air temperature, very high cooling water temperature",Active,Isolation Forest + Rule-Based Decision Support,2026-06-07 21:30:30
ALT-0109,HEX-005,Heat Exchanger,Low Risk,Observe,64.99,High heat exchanger efficiency loss,"Low health score may indicate fouling, blocked flow, or abnormal temperature difference",Schedule cleaning and inspect inlet/outlet flow condition soon,anomaly detected,Active,Isolation Forest + Rule-Based Decision Support,2026-06-07 21:30:30
ALT-0110,CMP-005,Compressor,Low Risk,Observe,65.04,High compressor stress condition,"Low health score may indicate overheating, overpressure, or lubrication problem",Schedule maintenance soon and check whether the compressor can continue operation safely,"anomaly detected, very low torque, very high rotational speed",Active,Isolation Forest + Rule-Based Decision Support,2026-06-07 21:30:30
ALT-0111,CFG-004,Centrifuge,Low Risk,Observe,65.06,High centrifuge mechanical stress,"Low health score may indicate rotor imbalance, high vibration risk, or bearing stress",Reduce load if possible and schedule centrifuge mechanical inspection soon,"anomaly detected, very high centrifuge speed instability, very low centrifuge load demand",Active,Isolation Forest + Rule-Based Decision Support,2026-06-07 21:30:30
ALT-0112,GRB-008,Gearbox,Low Risk,Observe,65.09,High gearbox mechanical stress,"Low health score may indicate lubrication failure, gear wear, or abnormal torque transmission",Schedule maintenance soon and avoid high load operation,"anomaly detected, very high operating temperature",Active,Isolation Forest + Rule-Based Decision Support,2026-06-07 21:30:30
ALT-0113,BLW-003,Blower,Low Risk,Observe,65.09,High-risk blower operating condition,"Low health score may indicate airflow restriction, overheating, or bearing stress",Plan maintenance soon and reduce blower load if possible,"anomaly detected, very high air temperature, very high process temperature",Active,Isolation Forest + Rule-Based Decision Support,2026-06-07 21:30:30
ALT-0114,AGT-003,Agitator,Low Risk,Observe,65.11,High agitator mechanical stress,"Low health score may indicate blade resistance, overload, or shaft stress",Schedule inspection soon and reduce agitator load if possible,"anomaly detected, very low mixing load demand, very high shaft speed variation",Active,Isolation Forest + Rule-Based Decision Support,2026-06-07 21:30:30
ALT-0115,CLT-003,Cooling Tower,Low Risk,Observe,65.13,High cooling tower performance risk,"Low health score may indicate cooling efficiency loss, airflow restriction, or scaling buildup","Schedule cleaning and inspect fan, fill media, and water distribution system","anomaly detected, very high cooling tower air temperature, very high cooling water temperature",Active,Isolation Forest + Rule-Based Decision Support,2026-06-07 21:30:30
ALT-0116,CMP-011,Compressor,Low Risk,Observe,65.19,High compressor stress condition,"Low health score may indicate overheating, overpressure, or lubrication problem",Schedule maintenance soon and check whether the compressor can continue operation safely,"anomaly detected, very low torque, very high rotational speed, very low air temperature",Active,Isolation Forest + Rule-Based Decision Support,2026-06-07 21:30:30
ALT-0117,CNV-001,Conveyor,Low Risk,Observe,65.26,High conveyor drive stress,"Low health score may indicate belt misalignment, roller jam, or overload",Reduce conveyor load and schedule maintenance soon,"anomaly detected, very high conveyor drive load, low conveyor speed variation",Active,Isolation Forest + Rule-Based Decision Support,2026-06-07 21:30:30
ALT-0118,MIX-004,Mixer,Low Risk,Observe,65.27,High mixer drive stress,"Low health score may indicate overload, blade resistance, or abnormal torque demand",Reduce mixer load if possible and schedule mechanical inspection soon,"anomaly detected, very low mixing load demand, very high shaft speed variation",Active,Isolation Forest + Rule-Based Decision Support,2026-06-07 21:30:30
ALT-0119,MIX-001,Mixer,Low Risk,Observe,65.29,High mixer drive stress,"Low health score may indicate overload, blade resistance, or abnormal torque demand",Reduce mixer load if possible and schedule mechanical inspection soon,"anomaly detected, very low mixing load demand, very high shaft speed variation",Active,Isolation Forest + Rule-Based Decision Support,2026-06-07 21:30:30
ALT-0120,CHL-004,Chiller,Low Risk,Observe,65.34,High chiller performance risk,"Low health score may indicate cooling efficiency loss, overheating, or unstable compressor load","Schedule maintenance soon and check condenser, refrigerant level, and cooling flow","anomaly detected, low process cooling temperature, very low compressor load demand",Active,Isolation Forest + Rule-Based Decision Support,2026-06-07 21:30:30
ALT-0121,HEX-010,Heat Exchanger,Low Risk,Observe,65.34,High heat exchanger efficiency loss,"Low health score may indicate fouling, blocked flow, or abnormal temperature difference",Schedule cleaning and inspect inlet/outlet flow condition soon,anomaly detected,Active,Isolation Forest + Rule-Based Decision Support,2026-06-07 21:30:30
ALT-0122,MOT-011,Motor,Low Risk,Observe,65.41,High motor stress condition,"Low health score may indicate overload, insulation stress, or abnormal torque demand",Reduce motor load if possible and schedule maintenance soon,"anomaly detected, very low torque, very high rotational speed, low air temperature",Active,Isolation Forest + Rule-Based Decision Support,2026-06-07 21:30:30
ALT-0123,GEN-009,Generator,Low Risk,Observe,65.41,High generator operating stress,"Low health score may indicate overload, overheating, bearing stress, or unstable electrical output",Reduce generator load if possible and schedule maintenance soon,"anomaly detected, very low generator load response, very high rotational speed instability, low generator cooling temperature",Active,Isolation Forest + Rule-Based Decision Support,2026-06-07 21:30:30
ALT-0124,FAN-003,Fan,Low Risk,Observe,65.51,Severe fan airflow imbalance or bearing stress,"Low health score may indicate high mechanical stress, bearing wear, or unstable rotation",Reduce fan operation load if possible and schedule maintenance soon,"anomaly detected, very high rotational airflow speed, very low airflow load demand, low air temperature",Active,Isolation Forest + Rule-Based Decision Support,2026-06-07 21:30:30
ALT-0125,PMP-015,Pump,Low Risk,Observe,65.54,High-risk pump operating condition,"Low health score may indicate cavitation, bearing wear, or unstable hydraulic load",Plan maintenance soon and reduce pump load if possible,"anomaly detected, very low torque, very high rotational speed, low air temperature",Active,Isolation Forest + Rule-Based Decision Support,2026-06-07 21:30:30
ALT-0126,HYD-011,Hydraulic System,Low Risk,Observe,65.55,High hydraulic system risk,"Low health score may indicate pressure instability, overheating, or leakage",Plan maintenance soon and reduce hydraulic load if possible,"anomaly detected, low hydraulic load response, very low operating temperature, very low process temperature",Active,Isolation Forest + Rule-Based Decision Support,2026-06-07 21:30:30
ALT-0127,TRB-005,Turbine,Low Risk,Observe,65.58,High turbine mechanical stress,"Low health score may indicate speed instability, thermal stress, or high mechanical load",Plan maintenance soon and verify safe operating limits,"anomaly detected, very low torque, high tool wear, very high rotational speed",Active,Isolation Forest + Rule-Based Decision Support,2026-06-07 21:30:30
ALT-0128,GRB-007,Gearbox,Low Risk,Observe,65.81,Possible gear wear or lubrication issue,"Abnormal torque or temperature pattern may indicate gear wear, misalignment, or insufficient lubrication","Inspect oil level, gear teeth condition, vibration, and shaft alignment","very high mechanical load, low shaft speed, very high operating temperature",Active,Isolation Forest + Rule-Based Decision Support,2026-06-07 21:30:30
ALT-0129,CHL-002,Chiller,Low Risk,Observe,65.81,High chiller performance risk,"Low health score may indicate cooling efficiency loss, overheating, or unstable compressor load","Schedule maintenance soon and check condenser, refrigerant level, and cooling flow","anomaly detected, very low compressor load demand",Active,Isolation Forest + Rule-Based Decision Support,2026-06-07 21:30:30
ALT-0130,GRB-010,Gearbox,Low Risk,Observe,65.85,High gearbox mechanical stress,"Low health score may indicate lubrication failure, gear wear, or abnormal torque transmission",Schedule maintenance soon and avoid high load operation,"anomaly detected, very low mechanical load, very high shaft speed, very low operating temperature",Active,Isolation Forest + Rule-Based Decision Support,2026-06-07 21:30:30
ALT-0131,CNV-008,Conveyor,Low Risk,Observe,65.97,High conveyor drive stress,"Low health score may indicate belt misalignment, roller jam, or overload",Reduce conveyor load and schedule maintenance soon,"anomaly detected, low conveyor drive load, high conveyor speed variation, high wear indicator",Active,Isolation Forest + Rule-Based Decision Support,2026-06-07 21:30:30
ALT-0132,CHL-008,Chiller,Low Risk,Observe,66.01,High chiller performance risk,"Low health score may indicate cooling efficiency loss, overheating, or unstable compressor load","Schedule maintenance soon and check condenser, refrigerant level, and cooling flow","anomaly detected, very low cooling-side temperature, very low process cooling temperature",Active,Isolation Forest + Rule-Based Decision Support,2026-06-07 21:30:30
ALT-0133,PMP-021,Pump,Low Risk,Observe,66.1,High-risk pump operating condition,"Low health score may indicate cavitation, bearing wear, or unstable hydraulic load",Plan maintenance soon and reduce pump load if possible,"anomaly detected, very low torque, very high rotational speed, high air temperature",Active,Isolation Forest + Rule-Based Decision Support,2026-06-07 21:30:30
ALT-0134,CMP-014,Compressor,Low Risk,Observe,66.12,High compressor stress condition,"Low health score may indicate overheating, overpressure, or lubrication problem",Schedule maintenance soon and check whether the compressor can continue operation safely,"anomaly detected, very low air temperature, very low process temperature",Active,Isolation Forest + Rule-Based Decision Support,2026-06-07 21:30:30
ALT-0135,HYD-005,Hydraulic System,Low Risk,Observe,66.19,High hydraulic system risk,"Low health score may indicate pressure instability, overheating, or leakage",Plan maintenance soon and reduce hydraulic load if possible,"anomaly detected, very high hydraulic load demand",Active,Isolation Forest + Rule-Based Decision Support,2026-06-07 21:30:30
ALT-0136,CHL-006,Chiller,Low Risk,Observe,66.27,High chiller performance risk,"Low health score may indicate cooling efficiency loss, overheating, or unstable compressor load","Schedule maintenance soon and check condenser, refrigerant level, and cooling flow","anomaly detected, high cooling-side temperature, high process cooling temperature, very high compressor load demand",Active,Isolation Forest + Rule-Based Decision Support,2026-06-07 21:30:30
ALT-0137,AGT-006,Agitator,Low Risk,Observe,66.27,High agitator mechanical stress,"Low health score may indicate blade resistance, overload, or shaft stress",Schedule inspection soon and reduce agitator load if possible,"anomaly detected, very low mixing load demand, very high shaft speed variation",Active,Isolation Forest + Rule-Based Decision Support,2026-06-07 21:30:30
ALT-0138,BLW-009,Blower,Low Risk,Observe,66.42,High-risk blower operating condition,"Low health score may indicate airflow restriction, overheating, or bearing stress",Plan maintenance soon and reduce blower load if possible,"anomaly detected, very high rotational airflow speed, very low airflow load demand, very high air temperature",Active,Isolation Forest + Rule-Based Decision Support,2026-06-07 21:30:30
ALT-0139,VPM-003,Vacuum Pump,Low Risk,Observe,66.45,High vacuum pump operating risk,"Low health score may indicate vacuum loss, overheating, internal wear, or seal leakage",Schedule maintenance soon and check vacuum performance and sealing condition,"anomaly detected, very low vacuum pump load response, very low pump operating temperature, low process temperature",Active,Isolation Forest + Rule-Based Decision Support,2026-06-07 21:30:30
ALT-0140,TRB-007,Turbine,Low Risk,Observe,66.47,High turbine mechanical stress,"Low health score may indicate speed instability, thermal stress, or high mechanical load",Plan maintenance soon and verify safe operating limits,"anomaly detected, high torque, very low air temperature, very low process temperature",Active,Isolation Forest + Rule-Based Decision Support,2026-06-07 21:30:30
ALT-0141,MOT-001,Motor,Low Risk,Observe,66.48,High motor stress condition,"Low health score may indicate overload, insulation stress, or abnormal torque demand",Reduce motor load if possible and schedule maintenance soon,"anomaly detected, very low torque, high tool wear, very high rotational speed",Active,Isolation Forest + Rule-Based Decision Support,2026-06-07 21:30:30
ALT-0142,CLT-007,Cooling Tower,Low Risk,Observe,66.5,High cooling tower performance risk,"Low health score may indicate cooling efficiency loss, airflow restriction, or scaling buildup","Schedule cleaning and inspect fan, fill media, and water distribution system","anomaly detected, low cooling water temperature, very high fan speed variation",Active,Isolation Forest + Rule-Based Decision Support,2026-06-07 21:30:30
ALT-0143,GEN-008,Generator,Low Risk,Observe,66.67,High generator operating stress,"Low health score may indicate overload, overheating, bearing stress, or unstable electrical output",Reduce generator load if possible and schedule maintenance soon,"anomaly detected, very high generator load demand, very high generator cooling temperature, very high operating temperature",Active,Isolation Forest + Rule-Based Decision Support,2026-06-07 21:30:30
ALT-0144,MOT-021,Motor,Low Risk,Observe,66.69,High motor stress condition,"Low health score may indicate overload, insulation stress, or abnormal torque demand",Reduce motor load if possible and schedule maintenance soon,"anomaly detected, very low torque, very high rotational speed, high air temperature",Active,Isolation Forest + Rule-Based Decision Support,2026-06-07 21:30:30
ALT-0145,CFG-008,Centrifuge,Low Risk,Observe,66.82,High centrifuge mechanical stress,"Low health score may indicate rotor imbalance, high vibration risk, or bearing stress",Reduce load if possible and schedule centrifuge mechanical inspection soon,"anomaly detected, very high centrifuge speed instability, very low centrifuge load demand",Active,Isolation Forest + Rule-Based Decision Support,2026-06-07 21:30:30
ALT-0146,CNV-013,Conveyor,Low Risk,Observe,66.88,High conveyor drive stress,"Low health score may indicate belt misalignment, roller jam, or overload",Reduce conveyor load and schedule maintenance soon,"anomaly detected, very high conveyor drive load, low conveyor speed variation",Active,Isolation Forest + Rule-Based Decision Support,2026-06-07 21:30:30
ALT-0147,CHL-007,Chiller,Low Risk,Observe,66.92,High chiller performance risk,"Low health score may indicate cooling efficiency loss, overheating, or unstable compressor load","Schedule maintenance soon and check condenser, refrigerant level, and cooling flow","anomaly detected, very high cooling-side temperature, very high process cooling temperature, very low compressor load demand",Active,Isolation Forest + Rule-Based Decision Support,2026-06-07 21:30:30
ALT-0148,HYD-010,Hydraulic System,Low Risk,Observe,66.95,High hydraulic system risk,"Low health score may indicate pressure instability, overheating, or leakage",Plan maintenance soon and reduce hydraulic load if possible,"anomaly detected, very high hydraulic load demand, very low operating temperature, very low process temperature",Active,Isolation Forest + Rule-Based Decision Support,2026-06-07 21:30:30
ALT-0149,GRB-012,Gearbox,Low Risk,Observe,66.96,High gearbox mechanical stress,"Low health score may indicate lubrication failure, gear wear, or abnormal torque transmission",Schedule maintenance soon and avoid high load operation,"anomaly detected, high mechanical load, low shaft speed, high wear indicator",Active,Isolation Forest + Rule-Based Decision Support,2026-06-07 21:30:30
ALT-0150,CFG-007,Centrifuge,Low Risk,Observe,67.13,High centrifuge mechanical stress,"Low health score may indicate rotor imbalance, high vibration risk, or bearing stress",Reduce load if possible and schedule centrifuge mechanical inspection soon,"anomaly detected, high centrifuge load demand, high operating temperature",Active,Isolation Forest + Rule-Based Decision Support,2026-06-07 21:30:30
ALT-0151,PMP-016,Pump,Low Risk,Observe,67.24,High-risk pump operating condition,"Low health score may indicate cavitation, bearing wear, or unstable hydraulic load",Plan maintenance soon and reduce pump load if possible,"anomaly detected, very high air temperature, very high process temperature",Active,Isolation Forest + Rule-Based Decision Support,2026-06-07 21:30:30
ALT-0152,HEX-001,Heat Exchanger,Low Risk,Observe,67.25,High heat exchanger efficiency loss,"Low health score may indicate fouling, blocked flow, or abnormal temperature difference",Schedule cleaning and inspect inlet/outlet flow condition soon,"anomaly detected, very low air temperature, very low process temperature",Active,Isolation Forest + Rule-Based Decision Support,2026-06-07 21:30:30
ALT-0153,MOT-005,Motor,Low Risk,Observe,67.3,High motor stress condition,"Low health score may indicate overload, insulation stress, or abnormal torque demand",Reduce motor load if possible and schedule maintenance soon,"anomaly detected, high tool wear, very low air temperature, very low process temperature",Active,Isolation Forest + Rule-Based Decision Support,2026-06-07 21:30:30
ALT-0154,MOT-024,Motor,Low Risk,Observe,67.39,High motor stress condition,"Low health score may indicate overload, insulation stress, or abnormal torque demand",Reduce motor load if possible and schedule maintenance soon,"anomaly detected, very low torque, very high rotational speed, low process temperature",Active,Isolation Forest + Rule-Based Decision Support,2026-06-07 21:30:30
ALT-0155,MIX-003,Mixer,Low Risk,Observe,67.4,High mixer drive stress,"Low health score may indicate overload, blade resistance, or abnormal torque demand",Reduce mixer load if possible and schedule mechanical inspection soon,"anomaly detected, very low mixing load demand, very high shaft speed variation",Active,Isolation Forest + Rule-Based Decision Support,2026-06-07 21:30:30
ALT-0156,AGT-005,Agitator,Low Risk,Observe,67.53,High agitator mechanical stress,"Low health score may indicate blade resistance, overload, or shaft stress",Schedule inspection soon and reduce agitator load if possible,"anomaly detected, very high mixing load demand, low shaft speed variation",Active,Isolation Forest + Rule-Based Decision Support,2026-06-07 21:30:30
ALT-0157,PMP-020,Pump,Low Risk,Observe,67.73,Possible cavitation or pump load issue,"Abnormal torque or speed pattern may suggest suction restriction, impeller blockage, or bearing wear","Inspect suction pressure, impeller condition, seals, and bearing vibration","very low torque, high tool wear, very high rotational speed",Active,Isolation Forest + Rule-Based Decision Support,2026-06-07 21:30:30
ALT-0158,PMP-002,Pump,Low Risk,Observe,67.8,High-risk pump operating condition,"Low health score may indicate cavitation, bearing wear, or unstable hydraulic load",Plan maintenance soon and reduce pump load if possible,"anomaly detected, high torque, very high air temperature, very high process temperature",Active,Isolation Forest + Rule-Based Decision Support,2026-06-07 21:30:30
ALT-0159,TRB-004,Turbine,Low Risk,Observe,67.81,High turbine mechanical stress,"Low health score may indicate speed instability, thermal stress, or high mechanical load",Plan maintenance soon and verify safe operating limits,"anomaly detected, high torque, very low air temperature, very low process temperature",Active,Isolation Forest + Rule-Based Decision Support,2026-06-07 21:30:30
ALT-0160,MIX-002,Mixer,Low Risk,Observe,68.06,High mixer drive stress,"Low health score may indicate overload, blade resistance, or abnormal torque demand",Reduce mixer load if possible and schedule mechanical inspection soon,"anomaly detected, very low mixing load demand, very high shaft speed variation",Active,Isolation Forest + Rule-Based Decision Support,2026-06-07 21:30:30
ALT-0161,GRB-014,Gearbox,Low Risk,Observe,68.12,High gearbox mechanical stress,"Low health score may indicate lubrication failure, gear wear, or abnormal torque transmission",Schedule maintenance soon and avoid high load operation,"very low mechanical load, high shaft speed, very high operating temperature",Active,Isolation Forest + Rule-Based Decision Support,2026-06-07 21:30:30
ALT-0162,PMP-017,Pump,Low Risk,Observe,68.16,High-risk pump operating condition,"Low health score may indicate cavitation, bearing wear, or unstable hydraulic load",Plan maintenance soon and reduce pump load if possible,"anomaly detected, very high air temperature, very high process temperature",Active,Isolation Forest + Rule-Based Decision Support,2026-06-07 21:30:30
ALT-0163,CMP-009,Compressor,Low Risk,Observe,68.36,High compressor stress condition,"Low health score may indicate overheating, overpressure, or lubrication problem",Schedule maintenance soon and check whether the compressor can continue operation safely,"very low torque, very high rotational speed",Active,Isolation Forest + Rule-Based Decision Support,2026-06-07 21:30:30
ALT-0164,FAN-006,Fan,Low Risk,Observe,68.4,Severe fan airflow imbalance or bearing stress,"Low health score may indicate high mechanical stress, bearing wear, or unstable rotation",Reduce fan operation load if possible and schedule maintenance soon,"anomaly detected, very high air temperature, very high process temperature",Active,Isolation Forest + Rule-Based Decision Support,2026-06-07 21:30:30
ALT-0165,CNV-011,Conveyor,Low Risk,Observe,68.41,High conveyor drive stress,"Low health score may indicate belt misalignment, roller jam, or overload",Reduce conveyor load and schedule maintenance soon,"anomaly detected, low conveyor drive load",Active,Isolation Forest + Rule-Based Decision Support,2026-06-07 21:30:30
ALT-0166,GRB-005,Gearbox,Low Risk,Observe,68.42,High gearbox mechanical stress,"Low health score may indicate lubrication failure, gear wear, or abnormal torque transmission",Schedule maintenance soon and avoid high load operation,"anomaly detected, very low mechanical load, very high shaft speed, high wear indicator",Active,Isolation Forest + Rule-Based Decision Support,2026-06-07 21:30:30
ALT-0167,BLW-004,Blower,Low Risk,Observe,68.48,Possible blower airflow restriction or bearing issue,"Abnormal torque or speed pattern may indicate blocked filter, bearing wear, or motor load increase","Inspect inlet filter, outlet pressure, bearing condition, and motor load","low airflow load demand, very low air temperature, very low process temperature",Active,Isolation Forest + Rule-Based Decision Support,2026-06-07 21:30:30
ALT-0168,TRB-006,Turbine,Low Risk,Observe,68.69,Possible turbine thermal or speed instability,Abnormal speed or temperature pattern may indicate thermal stress or blade wear,"Inspect vibration trend, lubrication system, speed stability, and blade condition","low torque, very high tool wear, high rotational speed",Active,Isolation Forest + Rule-Based Decision Support,2026-06-07 21:30:30
ALT-0169,MOT-015,Motor,Low Risk,Observe,68.7,Possible motor overload or heating issue,Abnormal torque or temperature pattern may indicate load stress or cooling limitation,"Inspect motor temperature, current draw, coupling alignment, and cooling path","very high torque, very high tool wear, low rotational speed",Active,Isolation Forest + Rule-Based Decision Support,2026-06-07 21:30:30
ALT-0170,HYD-006,Hydraulic System,Low Risk,Observe,68.72,Possible hydraulic pressure instability,"Abnormal torque or temperature pattern may indicate fluid leakage, filter restriction, or pump overload","Inspect pressure, oil level, hoses, seals, filters, and actuator movement","very low hydraulic load response, low operating temperature",Active,Isolation Forest + Rule-Based Decision Support,2026-06-07 21:30:30
ALT-0171,PMP-008,Pump,Low Risk,Observe,68.77,Possible cavitation or pump load issue,"Abnormal torque or speed pattern may suggest suction restriction, impeller blockage, or bearing wear","Inspect suction pressure, impeller condition, seals, and bearing vibration","very low torque, high rotational speed, low air temperature",Active,Isolation Forest + Rule-Based Decision Support,2026-06-07 21:30:30
ALT-0172,PMP-022,Pump,Low Risk,Observe,68.79,Possible cavitation or pump load issue,"Abnormal torque or speed pattern may suggest suction restriction, impeller blockage, or bearing wear","Inspect suction pressure, impeller condition, seals, and bearing vibration","high torque, very low air temperature, very low process temperature",Active,Isolation Forest + Rule-Based Decision Support,2026-06-07 21:30:30
